Time [min]	Voltage [mV]
0.00000	0.0284
0.00333	0.0281
0.00667	0.0254
0.01000	0.0093
0.01333	0.0031
0.01667	-0.0005
0.02000	-0.0004
0.02333	-0.0012
0.02667	-0.0005
0.03000	-0.0008
0.03333	-0.0003
0.03667	-0.0002
0.04000	-0.0005
0.04333	0.0006
0.04667	0.0023
0.05000	0.0036
0.05333	0.0016
0.05667	0.0032
0.06000	0.0044
0.06333	0.0047
0.06667	0.0040
0.07000	0.0023
0.07333	0.0033
0.07667	0.0029
0.08000	0.0013
0.08333	0.0024
0.08667	0.0024
0.09000	0.0005
0.09333	0.0015
0.09667	0.0018
0.10000	0.0017
0.10333	0.0010
0.10667	0.0030
0.11000	0.0045
0.11333	0.0058
0.11667	0.0040
0.12000	0.0039
0.12333	0.0034
0.12667	0.0036
0.13000	0.0025
0.13333	0.0024
0.13667	0.0033
0.14000	0.0030
0.14333	0.0022
0.14667	0.0014
0.15000	0.0012
0.15333	0.0021
0.15667	0.0041
0.16000	0.0055
0.16333	0.0061
0.16667	0.0041
0.17000	0.0040
0.17333	0.0039
0.17667	0.0035
0.18000	0.0046
0.18333	0.0054
0.18667	0.0056
0.19000	0.0076
0.19333	0.0073
0.19667	0.0077
0.20000	0.0068
0.20333	0.0042
0.20667	0.0033
0.21000	0.0024
0.21333	0.0020
0.21667	0.0015
0.22000	0.0018
0.22333	0.0023
0.22667	0.0042
0.23000	0.0052
0.23333	0.0044
0.23667	0.0040
0.24000	0.0030
0.24333	0.0010
0.24667	0.0007
0.25000	0.0019
0.25333	0.0009
0.25667	0.0018
0.26000	0.0026
0.26333	0.0030
0.26667	0.0037
0.27000	0.0039
0.27333	0.0040
0.27667	0.0040
0.28000	0.0041
0.28333	0.0045
0.28667	0.0036
0.29000	0.0040
0.29333	0.0043
0.29667	0.0029
0.30000	0.0030
0.30333	0.0030
0.30667	0.0029
0.31000	0.0023
0.31333	0.0021
0.31667	0.0019
0.32000	0.0016
0.32333	0.0027
0.32667	0.0033
0.33000	0.0024
0.33333	0.0018
0.33667	0.0006
0.34000	0.0002
0.34333	-0.0001
0.34667	-0.0004
0.35000	0.0009
0.35333	0.0024
0.35667	0.0025
0.36000	0.0022
0.36333	0.0045
0.36667	0.0040
0.37000	0.0039
0.37333	0.0054
0.37667	0.0037
0.38000	0.0034
0.38333	0.0037
0.38667	0.0030
0.39000	0.0023
0.39333	0.0023
0.39667	0.0029
0.40000	0.0037
0.40333	0.0036
0.40667	0.0026
0.41000	0.0029
0.41333	0.0030
0.41667	0.0030
0.42000	0.0027
0.42333	0.0018
0.42667	0.0027
0.43000	0.0034
0.43333	0.0045
0.43667	0.0024
0.44000	0.0007
0.44333	0.0006
0.44667	0.0016
0.45000	0.0021
0.45333	0.0029
0.45667	0.0033
0.46000	0.0022
0.46333	0.0015
0.46667	0.0015
0.47000	0.0004
0.47333	-0.0001
0.47667	-0.0005
0.48000	-0.0002
0.48333	0.0001
0.48667	0.0011
0.49000	0.0021
0.49333	0.0013
0.49667	0.0011
0.50000	0.0012
0.50333	0.0012
0.50667	-0.0006
0.51000	-0.0022
0.51333	-0.0030
0.51667	-0.0003
0.52000	-0.0007
0.52333	-0.0016
0.52667	0.0003
0.53000	0.0014
0.53333	0.0025
0.53667	0.0009
